,URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Number of Words Per Sentence,Complex Word Count,Word Count (Post NLTK cleaning),Syllable Per Word,Personal Pronouns Count,Avg Word Length
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,59.0,32.0,0.297,0.097,23.224,0.207,9.372,23.224,366.0,1124.0,1.759,1.0,5.675
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58.0,38.0,0.208,0.179,20.435,0.133,8.227,20.435,188.0,740.0,1.507,7.0,4.803
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64.0,37.0,0.267,0.126,20.083,0.197,8.112,20.083,332.0,982.0,1.717,3.0,5.391
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,58.0,27.0,0.365,0.142,19.256,0.138,7.758,19.256,218.0,867.0,1.522,19.0,4.802
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,53.0,23.0,0.395,0.107,20.887,0.16,8.419,20.887,267.0,919.0,1.613,16.0,5.069
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,40.0,22.0,0.29,0.121,22.926,0.146,9.229,22.926,181.0,656.0,1.56,21.0,4.948
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,21.0,11.0,0.312,0.102,15.978,0.159,6.455,15.978,114.0,397.0,1.594,7.0,5.076
7,44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,,,,,,,,,,,,,
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32.0,13.0,0.422,0.156,20.057,0.12,8.071,20.057,84.0,378.0,1.47,2.0,4.783
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,61.0,33.0,0.298,0.105,25.212,0.152,10.145,25.212,325.0,1171.0,1.58,11.0,4.918
10,47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,41.0,54.0,-0.137,0.111,18.848,0.154,7.601,18.848,288.0,1062.0,1.585,0.0,5.05
11,48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,32.0,22.0,0.185,0.097,21.648,0.188,8.735,21.648,220.0,673.0,1.689,10.0,5.429
12,49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29.0,27.0,0.036,0.103,16.597,0.162,6.703,16.597,193.0,718.0,1.581,8.0,5.003
13,50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,55.0,24.0,0.392,0.13,21.907,0.13,8.815,21.907,213.0,823.0,1.538,22.0,4.805
14,51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,57.0,20.0,0.481,0.119,18.975,0.175,7.66,18.975,266.0,853.0,1.631,12.0,5.115
15,52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24.0,0.0,1.0,0.1,23.81,0.194,9.601,23.81,97.0,298.0,1.702,0.0,5.416
16,53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,74.0,39.0,0.31,0.172,257.429,0.128,103.023,257.429,231.0,902.0,1.496,15.0,4.748
17,54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,17.0,0.0,1.0,0.05,16.977,0.177,6.862,16.977,132.0,417.0,1.616,1.0,5.071
18,55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14.0,5.0,0.474,0.056,17.45,0.231,7.072,17.45,161.0,404.0,1.759,2.0,5.437
19,56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.0,3.0,-1.0,0.046,28.0,0.173,11.269,28.0,29.0,100.0,1.631,3.0,5.321
20,57.0,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,,,,,,,,,,,,,
21,58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,23.0,68.0,-0.495,0.147,23.649,0.154,9.521,23.649,207.0,746.0,1.583,2.0,5.102
22,59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16.0,15.0,0.032,0.107,22.548,0.165,9.085,22.548,115.0,383.0,1.558,3.0,4.957
23,60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55.0,38.0,0.183,0.128,20.956,0.156,8.445,20.956,295.0,956.0,1.536,10.0,4.831
24,61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,41.0,3.0,0.864,0.149,14.953,0.152,6.042,14.953,98.0,362.0,1.582,4.0,5.145
25,62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5.0,0.0,1.0,0.029,22.875,0.112,9.195,22.875,41.0,217.0,1.462,0.0,4.967
26,63.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,19.0,8.0,0.407,0.078,23.588,0.123,9.485,23.588,99.0,445.0,1.51,6.0,4.786
27,64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,12.0,8.0,0.2,0.087,23.2,0.177,9.351,23.2,82.0,278.0,1.644,1.0,5.246
28,65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,14.0,8.0,0.273,0.158,14.0,0.146,5.658,14.0,55.0,185.0,1.571,0.0,5.111
29,66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4.0,0.0,1.0,0.053,17.0,0.19,6.876,17.0,29.0,90.0,1.791,1.0,5.333
30,67.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,20.0,36.0,-0.286,0.177,14.87,0.112,5.993,14.87,90.0,413.0,1.478,19.0,4.721
31,68.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5.0,2.0,0.429,0.103,19.444,0.091,7.814,19.444,16.0,96.0,1.446,1.0,4.646
32,69.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,33.0,10.0,0.535,0.127,17.128,0.18,6.923,17.128,120.0,398.0,1.725,0.0,5.563
33,70.0,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1.0,7.0,-0.75,0.154,20.571,0.09,8.265,20.571,13.0,72.0,1.354,3.0,4.632
34,71.0,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,7.0,25.0,-0.562,0.256,19.684,0.131,7.926,19.684,49.0,174.0,1.489,6.0,4.567
35,72.0,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,26.0,49.0,-0.307,0.096,23.521,0.212,9.493,23.521,364.0,967.0,1.691,15.0,5.329
36,73.0,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42.0,23.0,0.292,0.097,24.729,0.121,9.94,24.729,209.0,871.0,1.469,18.0,4.721
37,74.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,29.0,24.0,0.094,0.092,20.941,0.128,8.428,20.941,182.0,788.0,1.492,18.0,4.813
38,75.0,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,23.0,7.0,0.533,0.105,13.0,0.091,5.236,13.0,78.0,378.0,1.414,2.0,4.483
39,76.0,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,37.0,8.0,0.644,0.097,24.825,0.122,9.978,24.825,172.0,651.0,1.433,5.0,4.511
40,77.0,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,25.0,6.0,0.613,0.201,29.062,0.153,11.686,29.062,71.0,227.0,1.501,8.0,4.619
41,78.0,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,36.0,16.0,0.385,0.075,23.493,0.156,9.46,23.493,246.0,914.0,1.609,8.0,5.118
42,79.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,21.0,68.0,-0.528,0.241,14.478,0.11,5.835,14.478,110.0,493.0,1.46,11.0,4.674
43,80.0,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,52.0,22.0,0.405,0.176,15.625,0.1,6.29,15.625,112.0,558.0,1.394,5.0,4.488
44,81.0,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,19.0,31.0,-0.24,0.114,21.739,0.108,8.739,21.739,108.0,571.0,1.458,0.0,4.786
45,82.0,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,21.0,21.0,0.0,0.087,15.851,0.196,6.419,15.851,208.0,607.0,1.699,9.0,5.249
46,83.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,20.0,72.0,-0.565,0.242,15.723,0.114,6.335,15.723,116.0,507.0,1.471,13.0,4.704
47,84.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,19.0,9.0,0.357,0.107,19.879,0.145,8.009,19.879,95.0,348.0,1.532,5.0,4.812
